p1,p2,e1,e2
0.003082022,0.996917978,0.002799915,0.90566707
0.001259663,0.998740337,0.002508045,1.988537156
0.000618118,0.999381882,0.002297414,3.714491675
0.000360358,0.999639642,0.002084881,5.783503373
0.000263703,0.999736297,0.001968544,7.463036431
0.000256866,0.999743134,0.002093084,8.146461532
0.000336285,0.999663715,0.002678902,7.963475225
0.000425381,0.999574619,0.003256871,7.65310183
0.000462398,0.999537602,0.003589992,7.760270648
0.000443971,0.999556029,0.003683725,8.293527326
0.000406376,0.999593624,0.00371676,9.142386621
0.000353897,0.999646103,0.003725905,10.52449188
0.000298279,0.999701721,0.003791099,12.70612294
0.00025632,0.99974368,0.003950407,15.40804693
0.000250942,0.999749058,0.004468719,17.80330379
0.000276267,0.999723733,0.005298332,19.17302191
0.000333724,0.999666276,0.006439415,19.2891835
0.000436569,0.999563431,0.007992439,18.29939603
0.000611466,0.999388534,0.010074004,16.46509154
0.000823458,0.999176542,0.011612725,14.09078435
0.000997348,0.999002652,0.011457386,11.47639987
0.001163469,0.998836531,0.010302414,8.84460477
0.001552207,0.998447793,0.009862743,6.344151969
0.002415486,0.997584514,0.010142915,4.188977842
0.00348763,0.99651237,0.009738087,2.78244047
0.002796449,0.997203551,0.007561215,2.696302021
0.001162802,0.998837198,0.005200259,4.466977937
0.00051128,0.99948872,0.004276655,8.360324635
0.000303042,0.999696958,0.004281194,14.1231313
0.00016984,0.99983016,0.003557231,20.94098465
7.53E-05,0.999924724,0.002078174,27.60533482
4.17E-05,0.999958326,0.001381482,33.14806627
6.59E-05,0.999934092,0.002430027,36.86757494
9.49E-05,0.999905083,0.003625835,38.19624713
0.000107023,0.999892977,0.003933366,36.74869649
0.000120408,0.999879592,0.003933264,32.66224424
0.000156311,0.999843689,0.004186935,26.78165648
0.000211591,0.999788409,0.004327353,20.44713457
0.000249989,0.999750011,0.003669182,14.67371849
0.000221744,0.999778256,0.002207314,9.952124049
0.000157498,0.999842502,0.001002834,6.366277529
0.00017779,0.99982221,0.000679468,3.821060509
0.00031509,0.99968491,0.000679147,2.154724409
0.000478567,0.999521433,0.00055474,1.158613816
0.001539519,0.998460481,0.001744553,1.131435895
0.000724156,0.999275844,0.001880495,2.59493054
0.000472209,0.999527791,0.002268907,4.802608098
0.00032506,0.99967494,0.0024358,7.490938984
0.00019402,0.99980598,0.002022247,10.42084152
0.000100156,0.999899844,0.001338499,13.36281544
5.88E-05,0.999941189,0.000941853,16.01407242
5.12E-05,0.999948781,0.000922647,18.0126839
4.41E-05,0.999955935,0.000844562,19.16553054
3.11E-05,0.999968859,0.000612021,19.6526997
2.70E-05,0.999972974,0.000535898,19.82869826
2.68E-05,0.999973223,0.000529555,19.77568623
3.21E-05,0.999967937,0.000617731,19.26524987
0.000107574,0.999892426,0.001943423,18.0640059
0.0003757,0.9996243,0.006105551,16.24502751
0.000941638,0.999058362,0.013257401,14.06583336
0.00184243,0.99815757,0.021547168,11.6734243
0.003014404,0.996985596,0.027488494,9.091558229
0.004756573,0.995243427,0.030590642,6.400644959
0.008022831,0.991977169,0.031708971,3.920633181
0.012118438,0.987881562,0.030821943,2.512570532
0.00771235,0.99228765,0.026781468,3.445761386
0.002638429,0.997361571,0.019571566,7.398314423
0.000838121,0.999161879,0.011356717,13.53885571
